id,created_at,updated_at,active,name,slug,category_id,order,group_category
2355,2022-05-28 04:58:50,2022-05-28 04:58:50,1,Товары медицинского назначения,https:,17794,500,365
2374,2022-05-28 04:58:50,2022-05-28 04:58:50,1,Транспорт для всей семьи,transport-dlya-vsey-semi,18878,500,366
2313,2022-05-28 04:58:50,2022-05-28 04:58:50,1,Тренажеры и фитнес,trenajery-i-sportivnoe-oborudovanie,9024,500,363
2323,2022-05-28 04:58:50,2022-05-28 04:58:50,1,Туризм и кемпинг,tourizm,9668,500,363
2308,2022-05-28 04:58:50,2022-05-28 04:58:50,1,Уличное освещение,ulichnoe-osveschenie,8681,500,362
2250,2022-05-28 04:58:50,2022-05-28 04:58:50,1,Услуги и сервисы для электроники,uslugi,18536,500,357
2353,2022-05-28 04:58:50,2022-05-28 04:58:50,1,Уход за волосами,hair_care,12615,500,365
2351,2022-05-28 04:58:50,2022-05-28 04:58:50,1,Уход за лицом,sceen_care,12531,500,365
2311,2022-05-28 04:58:50,2022-05-28 04:58:50,1,Уход за питомцем,uhod-i-gigiena,8891,500,362
2358,2022-05-28 04:58:50,2022-05-28 04:58:50,1,Уход за полостью рта,uhod-za-polostyu-rta,12818,500,365
2352,2022-05-28 04:58:50,2022-05-28 04:58:50,1,Уход за телом,body_care,12566,500,365
2256,2022-05-28 04:58:50,2022-05-28 04:58:50,1,Уход и уборка,ukhod-i-uborka,4922,500,358
2365,2022-05-28 04:58:50,2022-05-28 04:58:50,1,Уцененные товары,rasprodaja,16956,500,366
2321,2022-05-28 04:58:50,2022-05-28 04:58:50,1,Уцененные товары,rasprodaja,16926,500,363
2304,2022-05-28 04:58:50,2022-05-28 04:58:50,1,Уцененные товары,rasprodaja,16920,500,362
2288,2022-05-28 04:58:50,2022-05-28 04:58:50,1,Уцененные товары,rasprodaja,16914,500,361
2278,2022-05-28 04:58:50,2022-05-28 04:58:50,1,Уцененные товары,rasprodaja,16908,500,360
2274,2022-05-28 04:58:50,2022-05-28 04:58:50,1,Уцененные товары,rasprodaja,16902,500,359
2246,2022-05-28 04:58:50,2022-05-28 04:58:50,1,Уцененные товары,rasprodaja,18541,500,357
2236,2022-05-28 04:58:49,2022-05-28 04:58:49,1,Уцененные товары,rasprodaja,16896,500,356
2259,2022-05-28 04:58:50,2022-05-28 04:58:50,1,Фильтры для воды,filtry-dlya-vody,17066,500,358
2267,2022-05-28 04:58:50,2022-05-28 04:58:50,1,Хозяйственные товары,hoziaystvennie-tovary,5797,500,359
2275,2022-05-28 04:58:50,2022-05-28 04:58:50,1,Церковная утварь,tserkovnaya-utvar,19129,500,359
2271,2022-05-28 04:58:50,2022-05-28 04:58:50,1,Часы,chasy,6189,500,359
2369,2022-05-28 04:58:50,2022-05-28 04:58:50,1,Школьные принадлежности,school_accessoies,18193,500,366
2295,2022-05-28 04:58:50,2022-05-28 04:58:50,1,Электромонтажное оборудование,elektro-montazhnoe-oborudovanie,8093,500,361
2281,2022-05-28 04:58:50,2022-05-28 04:58:50,1,Электромонтажное оборудование,elektro-montazhnoe-oborudovanie,7295,500,360
2224,2022-05-28 04:58:49,2022-05-28 04:58:49,1,Электронные книги,e-books,2675,500,355
2398,2022-05-28 04:58:50,2022-05-28 04:58:50,1,Электронные сигареты и аксессуары,elektronnie-sigarety-i-aksessuary,15205,500,368
2332,2022-05-28 04:58:50,2022-05-28 04:58:50,1,Электротранспорт,elektrotransport,10459,500,363
